VariableID,Abbreviation,Description,Min,Max,Source,Include,Aggregation,Plausible range,plausible_min_sign,plausible_min_numeric,plausible_max_sign,plausible_max_numeric,Permitted range,permitted_min_sign,permitted_min_numeric,permitted_max_sign,permitted_max_numeric
100,ARTs,Systolic (Art),0,300,NielsenLancet2019,1,"",,,,,,,,,,
110,ARTm,MAP (Art),0,300,NielsenLancet2019,1,min,,,,,,,,,,
120,ARTd,Diastolic (Art),0,300,OwnWork,1,min,,,,,,,,,,
200,Hjärtfrekv,Heart rate,25,300,NielsenLancet2019,1,max,,,,,,,,,,
300,RR(m),Respiratory rate,3,100,NielsenLancet2019,1,max,,,,,,,,,,
310,RRsp(m),Respiratory rate,3,100,NielsenLancet2019,1,max,,,,,,,,,,
320,RRv(s),Respiratory rate,3,100,NielsenLancet2019,1,max,,,,,,,,,,
340,RR(ecg),Respiratory rate,3,100,NielsenLancet2019,1,max,,,,,,,,,,
400,Temp perifer,Temperature,24,43,NielsenLancet2019,1,max,,,,,,,,,,
420,Temp KAD,Temperature,24,43,NielsenLancet2019,1,max,,,,,,,,,,
600,NIMPa,Systolic (Art),0,300,NielsenLancet2019,1,"",,,,,,,,,,
610,NIBPm,MAP (Art),0,300,NielsenLancet2019,1,min,,,,,,,,,,
620,ARTd,Diastolic (Art),0,300,OwnWork,1,min,,,,,,,,,,
700,CVP(m),CVPm,-5,40,OwnWork,0,"",,,,,,,,,,
1380,Blodflöde(s),Dialysis blood flow rate,0,2000,OwnWork,1,"",,,,,,,,,,
1460,Dialys in c,Dialysis in,-1000,3e+05,OwnWork,1,"",,,,,,,,,,
2000,FIO2(s),FiO2,21,100,NielsenLancet2019,1,fio2,,,,,,,,,,
2010,FIO2(m),FiO2,21,100,NielsenLancet2019,1,fio2,,,,,,,,,,
2200,ETCO2(m),EtCO2,0,15,OwnWork,1,"",,,,,,,,,,
2400,VT(s),Tidal Volume,0,2500,OwnWork,0,"",,,,,,,,,,
2410,VT(m),Tidal Volume,0,2500,OwnWork,0,"",,,,,,,,,,
2420,VTinsp,Tidal Volume,0,2500,OwnWork,0,"",,,,,,,,,,
2430,VTexp(m),Tidal Volume,0,2500,OwnWork,0,"",,,,,,,,,,
2500,VE(s),Minute Volume,0,30,OwnWork,0,"",,,,,,,,,,
2510,VE(m),Minute Volume,0,30,OwnWork,1,"",,,,,,,,,,
2520,VEinsp(m),Minute Volume,0,30,OwnWork,0,"",,,,,,,,,,
2530,VEspont,Minute Volume,0,30,OwnWork,0,"",,,,,,,,,,
2600,PEEP1(s),PEEP,0,30,OwnWork,0,max,,,,,,,,,,
2610,PEEP1(m),PEEP,0,30,OwnWork,1,max,,,,,,,,,,
2620,PEEP1(m),PEEP,0,30,OwnWork,1,max,,,,,,,,,,
2652,PEEPtotal(m),PEEP,0,30,OwnWork,0,"",,,,,,,,,,
2900,I:E(s),IE,0,20,OwnWork,0,"",,,,,,,,,,
2910,I:E(m),IE,0,20,OwnWork,0,"",,,,,,,,,,
3000,AWPmean,AWPmean,-5,100,OwnWork,0,"",,,,,,,,,,
3101,TU över PEEP,PS over PEEP,0,40,OwnWork,0,"",,,,,,,,,,
3110,AWPpeak(m),AWPpeak(m),-5,100,OwnWork,0,"",,,,,,,,,,
3200,AWPplateau,AWPplateau,-5,100,OwnWork,0,"",,,,,,,,,,
3210,AWPpause,AWPpause,-5,100,OwnWork,0,"",,,,,,,,,,
3300,AWPmin,AWPmin,-5,100,OwnWork,0,"",,,,,,,,,,
3500,C,Compliance,0,300,Ownwork,0,"",,,,,,,,,,
3501,Compl stat,ComplianceStatic,0,300,Ownwork,0,"",,,,,,,,,,
3750,BIPAPt1(s),AVPRt,0,60,Ownwork,0,"",,,,,,,,,,
3770,BIPAPt2(s),AVPRt,0,60,Ownwork,0,"",,,,,,,,,,
